 NUMBER OF NODES FOR CONCRETE                 402
 NUMBER OF NODES FOR STEEL+SHEET                0
 TOTAL NUMBER OF NODES                        402
 NUMBER OF ELEMENTS FOR CONCRETE              203
 NUMBER OF ELEMENTS FOR STEEL+SHEET             0
 TOTAL NUMBER OF ELEMENTS                     203
 TOTAL NUMBER OF MATERIAL                       5
 NUMBER OF STEEL BARS AND SHEET                 0
 NUMBER OF ELEMENTS FOR STEEL                   0
 NUMBER OF ELEMENTS FOR FRP SHEET               0
 NUMBER OF ELEMENTS FOR TENSION STEEL           0
 NUMBER OF ELEMENTS FOR COMPRESSION STEEL           0
 NUMBER OF ELEMENTS FOR STIRUP STEEL           0
 NUMBER OF ELEMENTS FOR LOWER FRP SHEET           0
 NUMBER OF ELEMENTS FOR UPPER FRP SHEET           0
 NUMBER OF BOND ELEMENTS FOR STEEL                   0
 NUMBER OF BOND ELEMENTS FOR FRP SHEET               0
 NUMBER OF BOND ELEMENTS FOR TENSION STEEL           0
 NUMBER OF BOND ELEMENTS FOR COMPRESSIONSTEEL           0
 NUMBER OF BOND ELEMENTS FOR STIRUP STEEL           0
 NUMBER OF BOND ELEMENTS FOR LOWER FRP SHEET           0
 NUMBER OF BOND ELEMENTS FOR UPPER FRP SHEET           0
  ***************KH********************  
 NUMBER OF SPRINGS FOR CONCRETE              518
 NUMBER OF SPRINGS FOR STEEL AND FRP           0
 NUMBER OF SPRINGS FOR BOND                    0
  ***************KH********************  
  COORDINATES OF NODAL POINTS  
   NOD     X      Y
   75 1309.0646   72.7784
   76 1314.2726   57.7976
   77 1364.0520   48.9600
   78 1408.2108   52.7440
   79 1459.9767   76.8056
   80 1486.3519   77.0488
   81   30.8314  119.6068
   82   72.0821   91.8496
   83   93.4399  117.3064
   84  140.2770   87.6256
   85  182.0513   85.4420
   86  221.5459  113.8072
   87  226.5784   85.8288
   88  265.1996   88.0596
   89  300.8415  109.3396
   90  368.7469   93.1012
   91  411.9323  110.1000
   92  435.8220  119.4808
   93  454.5169   97.4944
   94  507.9341  110.4136
   95  529.6110   81.5900
   96  582.1729  119.5280
   97  633.7853   80.7252
   98  670.8349   85.5424
   99  698.0468   84.3436
  100  725.4214   91.6536
  101  785.5965  109.6364
  102  810.4077  112.3836
  103  829.2146  113.3512
  104  884.5778  110.1740
  105  926.1521   84.4988
  106  957.5501  104.9296
  107  979.1996   96.5616
  108 1042.7952   95.8904
  109 1066.5435  117.3884
  110 1102.0350   93.9660
  111 1127.0482   87.7056
  112 1168.5293   95.6140
  113 1227.5033  103.7440
  114 1248.3757   87.7932
  115 1311.7399  114.8820
  116 1313.5541   83.8740
  117 1359.1924   85.8932
  118 1397.5631  104.3424
  119 1454.5508   86.7936
  120 1468.4399   92.9316
  121    1.2772  148.2524
  122   70.0384  144.6800
  123   90.4958  125.5168
  124  136.1599  130.8220
  125  171.2689  147.9048
  126  192.8573  127.3100
  127  234.8047  158.3824
  128  281.1172  155.2240
  129  316.8810  148.2616
  130  361.3170  123.3596
  131  402.9919  126.3752
  132  443.8856  142.7388
  133  470.8916  144.9512
  134  491.6355  152.3480
  135  552.8152  126.1824
  136  567.1586  158.0788
  137  626.2425  125.4920
  138  644.5999  136.6380
  139  709.1002  148.2988
  140  713.3831  152.9896
  141  752.2991  135.8568
  142  794.0280  147.7368
  143  852.9019  121.2408
  144  880.2506  132.0980
